Year,Month,ReturnPct
1986,3,9.54
1986,4,5.92
1986,5,3.6
1986,6,6.25
1986,7,1.24
1986,8,5.41
1986,9,0.62
1986,10,3.08
1986,11,6.72
1986,12,4.81
1987,1,9.73
1987,2,9.35
1987,3,7.1
1987,4,1.78
1987,5,2.86
1987,6,7.2
1987,7,5.73
1987,8,9.0
1987,9,-0.62
1987,10,-9.35
1987,11,-9.44
1987,12,1.96
1988,1,7.62
1988,2,6.59
1988,3,6.41
1988,4,2.24
1988,5,1.01
1988,6,9.3
1988,7,2.85
1988,8,1.48
1988,9,5.22
1988,10,7.07
1988,11,1.17
1988,12,5.63
1989,1,6.77
1989,2,6.48
1989,3,2.96
1989,4,6.73
1989,5,7.21
1989,6,6.43
1989,7,5.75
1989,8,7.61
1989,9,3.3
1989,10,3.14
1989,11,1.07
1989,12,5.72
1990,1,0.72
1990,2,0.5
1990,3,5.85
1990,4,3.3
1990,5,6.98
1990,6,6.22
1990,7,3.15
1990,8,-4.86
1990,9,-1.06
1990,10,1.15
1990,11,6.57
1990,12,8.1
1991,1,2.69
1991,2,15.02
1991,3,6.11
1991,4,5.25
1991,5,2.75
1991,6,3.29
1991,7,3.74
1991,8,5.63
1991,9,2.59
1991,10,3.08
1991,11,2.91
1991,12,3.83
1992,1,10.25
1992,2,2.11
1992,3,1.73
1992,4,3.04
1992,5,4.84
1992,6,1.39
1992,7,4.68
1992,8,3.67
1992,9,3.1
1992,10,1.53
1992,11,5.51
1992,12,5.96
1993,1,2.75
1993,2,4.35
1993,3,4.74
1993,4,1.2
1993,5,3.31
1993,6,3.44
1993,7,2.62
1993,8,4.33
1993,9,3.88
1993,10,3.75
1993,11,2.49
1993,12,3.38
1994,1,4.22
1994,2,2.38
1994,3,1.05
1994,4,-0.83
1994,5,3.68
1994,6,3.72
1994,7,2.08
1994,8,5.7
1994,9,3.37
1994,10,2.11
1994,11,2.22
1994,12,1.59
1995,1,5.11
1995,2,6.42
1995,3,5.06
1995,4,5.68
1995,5,5.75
1995,6,5.52
1995,7,5.83
1995,8,2.74
1995,9,5.95
1995,10,3.08
1995,11,4.52
1995,12,5.51
1996,1,2.24
1996,2,7.99
1996,3,1.79
1996,4,2.2
1996,5,4.37
1996,6,3.26
1996,7,-1.5
1996,8,5.15
1996,9,4.05
1996,10,6.12
1996,11,6.99
1996,12,3.06
1997,1,5.1
1997,2,6.16
1997,3,1.11
1997,4,-1.66
1997,5,11.03
1997,6,7.01
1997,7,7.33
1997,8,1.86
1997,9,2.71
1997,10,3.15
1997,11,0.34
1997,12,4.15
1998,1,1.72
1998,2,7.89
1998,3,6.71
1998,4,4.75
1998,5,1.09
1998,6,1.44
1998,7,5.79
1998,8,-5.7
1998,9,-3.52
1998,10,2.74
1998,11,12.41
1998,12,5.4
1999,1,6.3
